State,Rates,,Brackets
Ala.,6.50%,>,$0
Alaska,0.00%,>,$0
,2.00%,>,"$25,000"
,3.00%,>,"$49,000"
,4.00%,>,"$74,000"
,5.00%,>,"$99,000"
,6.00%,>,"$124,000"
,7.00%,>,"$148,000"
,8.00%,>,"$173,000"
,9.00%,>,"$198,000"
,9.40%,>,"$222,000"
Ariz.,4.90%,>,$0
Ark.,1.00%,>,$0
,2.00%,>,"$3,000"
,3.00%,>,"$6,000"
,5.00%,>,"$11,000"
,6.00%,>,"$25,000"
,6.50%,>,"$100,000"
Calif.,8.84%,>,$0
Colo.,4.63%,>,$0
Conn.,7.50%,>,$0
Del. (a),8.70%,>,$0
Fla.,4.46%,>,$0
Ga. (c),5.75%,>,$0
Hawaii,4.40%,>,$0
,5.40%,>,"$25,000"
,6.40%,>,"$100,000"
Idaho,6.93%,>,$0
Ill. (d),9.50%,>,$0
Ind. (e),5.50%,>,$0
Iowa,6%,>,$0
,8%,>,"$25,000"
,10%,>,"$100,000"
,12%,>,"$250,000"
Kans.,4%,>,$0
,7%,>,"$50,000"
Ky.,5%,>,$0
La.,4%,>,$0
,5%,>,"$25,000"
,6%,>,"$50,000"
,7%,>,"$100,000"
,8%,>,"$200,000"
Maine,3.50%,>,$0
,7.93%,>,"$350,000"
,8.33%,>,"$1,050,000"
,8.93%,>,"$3,500,000"
Md.,8.25%,>,$0
Mass.,8%,>,$0
Mich.,6%,>,$0
Minn.,9.80%,>,$0
Miss. (f),3%,>,"$3,000"
,4%,>,"$5,000"
,5%,>,"$10,000"
Mo.,4.00%,>,$0
Mont.,6.75%,>,$0
Nebr.,5.58%,>,$0
,7.81%,>,"$100,000"
Nev.,,(a),
N.H. (g),7.70%,>,$0
N.J. (h),6.50%,>,$0
,7.50%,>,"$50,000"
,9.00%,>,"$100,000"
,10.50%,>,"$1,000,000"
N.M.,4.80%,>,$0
,5.90%,>,"$500,000"
N.Y.,6.50%,>,$0
N.C.,2.50%,>,$0
N.D.,1.41%,>,$0
,3.55%,>,"$25,000"
,4.31%,>,"$50,000"
Ohio,,(a),
Okla.,6%,>,$0
Ore. (a),6.60%,>,$0
,7.60%,>,"$1,000,000"
Pa.,9.99%,>,$0
R.I.,7%,>,$0
S.C.,5%,>,$0
S.D.,,None,
Tenn.,6.50%,>,$0
Tex.,,(a),
Utah,4.95%,>,$0
Vt.,6.00%,>,$0
,7.00%,>,"$10,000"
,8.50%,>,"$25,000"
Va. (a),6%,>,$0
Wash.,,(a),
W.Va.,6.50%,>,$0
Wis.,7.90%,>,$0
Wyo.,,None,
D.C.,8.25%,>,$0
